cen_x,cen_y,xmin,ymin,xmax,ymax
1067,261,1056.6593,249.42894,1077.3602,274.4361
254,375,206.73958,345.36545,301.7037,406.21057
1241,380,1214.167,359.2256,1268.5182,402.75595
896,401,870.44214,379.8878,922.13416,422.40344
1113,334,1096.4386,318.8592,1129.7561,351.08057
1434,371,1404.9255,354.68042,1463.8416,389.0344
1644,436,1609.5521,409.30518,1680.2032,462.90952
894,335,875.9974,321.40533,913.38525,349.60754
1358,345,1335.4027,328.11575,1381.0419,363.07193
914,306,897.9063,293.38513,931.1064,318.94284
1261,290,1247.1536,279.2099,1276.019,302.50757
950,285,934.0264,275.16013,967.6886,295.3968
1163,290,1146.9015,272.12247,1180.5925,308.7293
1188,281,1173.5785,267.6878,1202.4612,295.8677
891,177,877.067,168.31696,906.894,187.57361
965,281,951.58057,271.5872,980.05347,291.46924
1012,268,1000.9574,257.81396,1024.7208,278.6197
1174,285,1147.6807,266.16263,1200.8307,305.64703
1048,744,976.3456,685.0707,1121.2593,803.2183
994,411,968.25104,388.2047,1021.7219,434.57547
1647,685,1567.5966,618.5267,1726.4363,752.352
932,511,893.1122,474.75745,971.70276,548.67236
683,346,660.05237,329.50238,706.3009,363.02182
1168,331,1152.4551,318.1002,1184.632,345.02945
845,282,828.7796,270.74225,861.6388,293.75885
1818,480,1760.7256,436.76556,1876.5798,523.8654
912,301,896.2722,288.31976,927.86414,313.79935
893,336,875.48303,320.19144,912.1484,353.5091
1099,333,1080.9059,319.2915,1118.1799,347.53445
954,284,940.21826,273.3673,968.93134,295.15317
1623,291,1595.059,274.49713,1652.0344,308.58307
984,276,969.5826,266.2173,1000.23834,286.7954
1439,232,1418.8273,217.55905,1459.4673,246.569
1025,281,1014.5638,274.18973,1035.8717,289.66138
1818,480,1760.6058,436.67307,1876.7751,523.87634
1293,312,1277.5437,296.8853,1309.95,327.42017
1209,264,1201.8416,255.55048,1217.3256,273.97388
783,292,776.4004,280.97522,789.9146,304.49887
1241,263,1230.0918,255.57779,1252.6135,271.6982
982,277,966.3118,265.11728,998.5051,290.48883
1068,264,1059.2892,253.45137,1077.2992,274.7782
1025,278,1014.92426,269.05704,1036.8384,287.2405
892,177,878.2382,167.30238,906.32446,186.73625
1259,289,1244.1371,279.36,1274.3351,299.6419
328,290,292.6656,267.54114,363.9417,313.23422
1257,446,1218.957,418.8648,1296.3203,474.70197
471,207,417.0014,158.88193,526.3512,256.43054
1493,497,1436.2479,448.92514,1550.5721,546.3771
586,463,550.202,431.2019,623.4259,495.57867
1024,429,992.67267,403.21207,1055.9783,455.48645
307,344,269.3367,318.22375,345.74472,371.65198
1232,370,1206.9879,349.8245,1257.7992,390.28284
941,522,899.55023,484.67322,983.75336,561.07263
676,341,652.5166,319.6654,700.6612,363.02072
1233,1040,1134.7377,1002.6147,1331.773,1078.3226
1129,352,1107.6722,335.9494,1151.4197,369.9933
924,266,908.014,256.81577,940.62683,276.8025
1897,542,1875.0076,510.26947,1920.911,574.9896
940,523,898.4127,484.91415,983.5507,561.12085
471,207,417.11325,158.93892,526.4265,256.12683
1905,407,1888.6106,380.14188,1921.7863,434.12625
1493,497,1436.0013,449.02722,1551.1006,546.1623
1908,397,1893.116,379.36783,1923.241,414.79446
1282,268,1254.9344,251.8319,1309.9329,285.50555
1184,280,1171.8942,271.8067,1197.8605,289.33917
1239,262,1227.4017,252.51971,1251.2067,273.2909
1361,405,1285.2001,335.05142,1437.3124,475.5679
50,502,1.176827,450.9106,99.80105,555.0001
931,487,891.82837,454.16605,970.88574,520.34174
1114,332,1096.2334,318.36807,1131.9795,347.09283
272,321,235.714,296.12857,309.17496,346.3578
1180,336,1160.2455,318.37518,1201.6587,354.1737
881,362,859.7293,341.6727,902.56836,383.36362
1312,319,1293.8759,303.1473,1331.5801,335.51538
982,384,956.43805,354.8245,1009.4108,413.6963
667,352,638.5672,322.89005,696.5174,382.75262
1051,465,1023.10596,437.0658,1079.3496,494.795
967,318,950.0575,303.07922,984.6618,333.85876
1041,470,1004.4285,435.99194,1079.4169,504.27634
919,298,902.2239,284.30627,935.99927,313.0813
667,352,638.43536,322.2186,696.40826,382.8323
918,298,901.5717,284.12527,935.87634,312.87793
1021,267,1008.71,258.99612,1033.4769,276.71613
967,318,950.0575,303.07922,984.6618,333.85876
1312,319,1293.8759,303.1473,1331.5801,335.51538
1017,496,1004.90924,475.692,1031.0057,517.6019
1398,922,1293.0669,841.19696,1504.721,1004.0529
1852,506,1797.196,471.21317,1907.7256,541.52936
937,520,866.02484,435.5922,1009.35565,605.99805
1550,539,1495.4578,494.1104,1605.4619,584.73456
1243,434,1204.2898,408.05093,1282.0741,461.8365
891,368,870.3541,351.52722,913.56824,385.07867
972,325,955.4083,309.81036,990.5535,341.41348
988,401,960.855,378.31885,1016.2637,425.59866
1108,294,1093.1959,281.37442,1123.5479,308.59476
928,295,912.7445,283.39383,945.02203,307.7388
1245,376,1220.0094,352.9755,1271.0409,399.9897
499,224,475.1469,207.32846,524.03033,241.3338
1162,309,1146.2587,295.09528,1178.5322,324.24957
1709,319,1670.9077,291.19003,1748.7795,347.96368
1709,320,1670.55,291.3772,1748.741,349.3469
988,274,976.49054,264.45468,1000.1215,285.43115
1015,282,999.8714,273.04413,1030.3154,292.2953
1272,306,1259.7095,297.96893,1284.4401,315.71805
576,214,559.3124,201.66109,594.5511,228.24422
988,402,960.3488,378.91132,1016.7267,425.95087
1243,435,1204.1237,408.30374,1283.043,462.2026
1240,258,1230.3702,251.93074,1250.857,265.94644
1168,278,1155.2583,267.3057,1180.7596,288.77524
499,224,475.1469,207.32846,524.03033,241.3338
306,757,155.53587,568.0726,457.4792,946.27747
1423,471,1380.2963,440.8005,1467.1562,502.69504
